Name () (71c),Pos () (71c),Team () (71c),Injury () (71d),Return Date () (71d),Date Injured () (71d)
Jeremy Sochan,PG,San Antonio Spurs,Back,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
David Duke Jr,PG,San Antonio Spurs,,,
Devin Vassell,PG,San Antonio Spurs,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
De'Aaron Fox,PG,San Antonio Spurs,Finger,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Devin Vassell,SF,San Antonio Spurs,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Keldon Johnson,SF,San Antonio Spurs,,,
Julian Champagnie,SF,San Antonio Spurs,,,
Harrison Barnes,SF,San Antonio Spurs,,,
Malaki Branham,SF,San Antonio Spurs,,,
Stephon Castle,SF,San Antonio Spurs,,,
Harrison Ingram,SF,San Antonio Spurs,,,
David Duke Jr,SF,San Antonio Spurs,,,
Riley Minix,SF,San Antonio Spurs,Shoulder,Out|Expected To Be Out Until At Least Jul 1,4/23/2025
Stephon Castle,SG,San Antonio Spurs,,,
Julian Champagnie,SG,San Antonio Spurs,,,
Devin Vassell,SG,San Antonio Spurs,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Malaki Branham,SG,San Antonio Spurs,,,
Blake Wesley,SG,San Antonio Spurs,,,
Jordan McLaughlin,SG,San Antonio Spurs,,,
David Duke Jr,SG,San Antonio Spurs,,,
De'Aaron Fox,SG,San Antonio Spurs,Finger,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Alex Sarr,C,Washington Wizards,,,
Tristan Vukcevic,C,Washington Wizards,,,
Richaun Holmes,C,Washington Wizards,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Anthony Gill,C,Washington Wizards,Hamstring,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Kyshawn George,PF,Washington Wizards,,,
Anthony Gill,PF,Washington Wizards,Hamstring,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
JT Thor,PF,Washington Wizards,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Justin Champagnie,PF,Washington Wizards,,,
Tristan Vukcevic,PF,Washington Wizards,,,
Alex Sarr,PF,Washington Wizards,,,
Saddiq Bey,PF,Washington Wizards,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Khris Middleton,PF,Washington Wizards,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Bilal Coulibaly,PF,Washington Wizards,Hamstring,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Corey Kispert,PF,Washington Wizards,Thumb,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Carlton Carrington,PG,Washington Wizards,,,
Marcus Smart,PG,Washington Wizards,,,
Jordan Poole,PG,Washington Wizards,Elbow,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
AJ Johnson,PG,Washington Wizards,,,
Malcolm Brogdon,PG,Washington Wizards,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Justin Champagnie,SF,Washington Wizards,,,
Colby Jones,SF,Washington Wizards,,,
Kyshawn George,SF,Washington Wizards,,,
Marcus Smart,SF,Washington Wizards,,,
JT Thor,SF,Washington Wizards,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jaylen Martin,SF,Washington Wizards,,,
Saddiq Bey,SF,Washington Wizards,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Khris Middleton,SF,Washington Wizards,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Bilal Coulibaly,SF,Washington Wizards,Hamstring,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Corey Kispert,SF,Washington Wizards,Thumb,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jordan Poole,SG,Washington Wizards,Elbow,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
AJ Johnson,SG,Washington Wizards,,,
Marcus Smart,SG,Washington Wizards,,,
Carlton Carrington,SG,Washington Wizards,,,
Colby Jones,SG,Washington Wizards,,,
Justin Champagnie,SG,Washington Wizards,,,
Kyshawn George,SG,Washington Wizards,,,
Malcolm Brogdon,SG,Washington Wizards,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Khris Middleton,SG,Washington Wizards,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Bilal Coulibaly,SG,Washington Wizards,Hamstring,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Corey Kispert,SG,Washington Wizards,Thumb,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jakob Poeltl,C,Toronto Raptors,Hand,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jonathan Mogbo,C,Toronto Raptors,,,
Colin Castleton,C,Toronto Raptors,,,
Chris Boucher,C,Toronto Raptors,Illness,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Ulrich Chomche,C,Toronto Raptors,Knee,Out|Expected To Be Out Until At Least Jul 1,4/23/2025
Scottie Barnes,PF,Toronto Raptors,,,
Jonathan Mogbo,PF,Toronto Raptors,,,
Ochai Agbaji,PF,Toronto Raptors,,,
Jared Rhoden,PF,Toronto Raptors,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jamison Battle,PF,Toronto Raptors,,,
Colin Castleton,PF,Toronto Raptors,,,
Chris Boucher,PF,Toronto Raptors,Illness,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
RJ Barrett,PF,Toronto Raptors,,,
Brandon Ingram,PF,Toronto Raptors,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Ulrich Chomche,PF,Toronto Raptors,Knee,Out|Expected To Be Out Until At Least Jul 1,4/23/2025
Immanuel Quickley,PG,Toronto Raptors,,,
Jamal Shead,PG,Toronto Raptors,,,
Scottie Barnes,PG,Toronto Raptors,,,
RJ Barrett,PG,Toronto Raptors,,,
AJ Lawson,PG,Toronto Raptors,,,
RJ Barrett,SF,Toronto Raptors,,,
Jamison Battle,SF,Toronto Raptors,,,
Ochai Agbaji,SF,Toronto Raptors,,,
Ja'Kobe Walter,SF,Toronto Raptors,Hip,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Scottie Barnes,SF,Toronto Raptors,,,
AJ Lawson,SF,Toronto Raptors,,,
Jared Rhoden,SF,Toronto Raptors,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Garrett Temple,SF,Toronto Raptors,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jonathan Mogbo,SF,Toronto Raptors,,,
Brandon Ingram,SF,Toronto Raptors,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Gradey Dick,SF,Toronto Raptors,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Ja'Kobe Walter,SG,Toronto Raptors,Hip,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Ochai Agbaji,SG,Toronto Raptors,,,
RJ Barrett,SG,Toronto Raptors,,,
AJ Lawson,SG,Toronto Raptors,,,
Jared Rhoden,SG,Toronto Raptors,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jamison Battle,SG,Toronto Raptors,,,
Garrett Temple,SG,Toronto Raptors,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Immanuel Quickley,SG,Toronto Raptors,,,
Scottie Barnes,SG,Toronto Raptors,,,
Brandon Ingram,SG,Toronto Raptors,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Gradey Dick,SG,Toronto Raptors,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
