player_id,team_id,season,injury_start_date,injury_end_date,duration_days,reasoning,player_name,team_name
1626181,1610612746,2022-23,2022-11-30,2023-03-29,47,placed on IL with strained left groin; placed on IL with left shoulder subluxation,Norman Powell,Clippers
1626181,1610612757,2021-22,2021-10-24,2022-01-24,24,placed on IL with patella tendinopathy in left knee; placed on IL with bruised right quadriceps; placed on IL with NBA health and safety protocols,Norman Powell,Blazers
1626192,1610612749,2021-22,2022-01-04,2022-03-19,40,placed on IL with NBA health and safety protocols; placed on IL with surgery on right hand,Pat Connaughton,Bucks
1626192,1610612749,2022-23,2022-10-20,2023-04-16,53,placed on IL with strained right calf; placed on IL with left calf injury; placed on IL with sprained right ankle,Pat Connaughton,Bucks
1626196,1610612738,2021-22,2021-10-20,2021-12-28,25,placed on IL with migraine headache; placed on IL with bruised left foot; placed on IL with right knee injury; placed on IL with illness; placed on IL with NBA health and safety protocols; placed on IL with NBA health and safety protocols,Josh Richardson,Celtics
1626196,1610612759,2021-22,2022-02-25,2022-03-20,3,placed on IL with sore right shoulder; placed on IL with left calf injury,Josh Richardson,Spurs
1626196,1610612759,2022-23,2022-10-30,2023-02-01,24,placed on IL with tightness in lower back; placed on IL with sore right ankle; placed on IL with sore left/right knee,Josh Richardson,Spurs
1626204,1610612740,2021-22,2022-03-27,2022-03-30,3,placed on IL with right knee injury,Larry Nance Jr.,Pelicans
1626204,1610612740,2022-23,2022-11-09,2023-03-12,40,placed on IL with left knee injury; placed on IL with sore right shoulder; placed on IL with sore right Achilles; placed on IL with neck spasms / bruised neck; placed on IL with left groin injury; placed on IL with sprained left ankle,Larry Nance Jr.,Pelicans
1626204,1610612757,2021-22,2022-01-06,2022-03-24,77,placed on IL with right knee inflammation,Larry Nance Jr.,Blazers
1626220,1610612751,2022-23,2023-03-08,2023-03-10,2,placed on IL with sore left knee,Royce O'Neale,Nets
1626220,1610612762,2021-22,2021-11-27,2022-04-07,6,placed on IL with ankle and foot injuries; placed on IL with right thumb injury,Royce O'Neale,Jazz
1626224,1610612739,2021-22,2021-11-18,2022-01-07,25,placed on IL with lower back spasms; placed on IL with sore lower back; placed on IL with NBA health and safety protocols,Cedi Osman,Cavaliers
1626224,1610612739,2022-23,2023-02-15,2023-02-22,7,placed on IL with neck spasms,Cedi Osman,Cavaliers
1626246,1610612742,2021-22,2021-12-29,2022-01-09,11,placed on IL with NBA health and safety protocols,Boban Marjanovic,Mavericks
1627732,1610612751,2022-23,2022-10-31,2023-02-07,29,placed on IL with left knee injury; placed on IL with strained left calf; placed on IL; placed on IL with sore left knee,Ben Simmons,Nets
1627734,1610612754,2021-22,2021-12-23,2022-02-06,17,placed on IL with right calf injury; placed on IL with sprained left ankle; placed on IL with NBA health and safety protocols,Domantas Sabonis,Pacers
1627734,1610612758,2022-23,2022-12-27,2023-04-08,4,placed on IL with right thumb injury; placed on IL with illness; placed on IL with sore left ankle,Domantas Sabonis,Kings
1627736,1610612750,2021-22,2022-03-26,2022-04-01,6,placed on IL with sprained left ankle,Malik Beasley,Timberwolves
1627737,1610612742,2021-22,2022-02-11,2022-04-10,37,placed on IL with sore right knee; placed on IL with illness,Marquese Chriss,Mavericks
1627739,1610612757,2021-22,2022-04-08,2022-04-11,3,placed on IL with sprained right ankle,Kris Dunn,Blazers
1627741,1610612754,2022-23,2023-03-27,2023-03-30,3,placed on IL with illness,Buddy Hield,Pacers
1627742,1610612740,2021-22,2021-10-30,2022-04-12,53,placed on IL with bruised right hip; placed on IL with sore left Achilles; placed on IL with sprained right ankle; placed on IL with right hamstring injury; placed on IL with right hamstring injury,Brandon Ingram,Pelicans
1627742,1610612740,2022-23,2022-10-24,2023-03-14,73,placed on IL with concussion; placed on IL with bruised left toe; placed on IL with sprained right ankle,Brandon Ingram,Pelicans
1627745,1610612758,2021-22,2022-01-09,2022-01-16,7,placed on IL with NBA health and safety protocols,Damian Jones,Kings
1627747,1610612739,2021-22,2022-02-24,2022-03-14,18,placed on IL with sprained right foot,Caris LeVert,Cavaliers
1627747,1610612739,2022-23,2022-11-21,2023-04-15,17,placed on IL with sprained left ankle; placed on IL with right hamstring injury; placed on IL with sore right knee,Caris LeVert,Cavaliers
1627747,1610612754,2021-22,2021-10-19,2022-01-24,28,placed on IL with sore lower back; placed on IL with sore lower back; placed on IL with NBA health and safety protocols; placed on IL with right calf injury,Caris LeVert,Pacers
1627749,1610612737,2022-23,2022-12-08,2023-04-11,17,placed on IL with sprained left ankle; placed on IL with illness; placed on IL with sore left ankle,Dejounte Murray,Hawks
1627749,1610612759,2021-22,2021-12-26,2022-04-10,22,placed on IL with NBA health and safety protocols; placed on IL with bruised left knee; placed on IL with sprained left wrist; placed on IL with bruised left knee; placed on IL with left calf injury; placed on IL with illness,Dejounte Murray,Spurs
1627750,1610612743,2022-23,2022-11-18,2023-04-08,29,placed on IL with NBA health and safety protocols; placed on IL with left knee injury; placed on IL with left knee injury; placed on IL with left knee injury; placed on IL with right knee inflammation; placed on IL with sprained right thumb,Jamal Murray,Nuggets
1627751,1610612759,2021-22,2021-11-03,2022-04-10,22,placed on IL with NBA health and safety protocols; placed on IL; placed on IL with back injury; placed on IL with sore lower back; placed on IL with concussion; placed on IL with sore lower back; placed on IL with sore lower back; placed on IL with tightness in lower back; placed on IL with tightness in lower back,Jakob Poeltl,Spurs
1627751,1610612759,2022-23,2022-11-20,2022-11-23,3,placed on IL with sore right knee,Jakob Poeltl,Spurs
1627752,1610612750,2021-22,2021-12-17,2021-12-31,14,placed on IL with NBA health and safety protocols,Taurean Prince,Timberwolves
1627752,1610612750,2022-23,2023-03-27,2023-03-31,4,placed on IL with illness,Taurean Prince,Timberwolves
1627756,1610612739,2021-22,2021-12-31,2022-01-03,3,placed on IL,Denzel Valentine,Cavaliers
1627759,1610612738,2021-22,2021-10-24,2022-03-30,32,placed on IL with patella tendinopathy in left knee; placed on IL with tightness in right hamstring; placed on IL with right hamstring injury; placed on IL with sprained right ankle; placed on IL with right knee injury,Jaylen Brown,Celtics
1627759,1610612738,2022-23,2022-11-28,2023-04-11,31,placed on IL with stiff neck; placed on IL with tightness in right adductor; placed on IL with left adductor injury; placed on IL with illness; placed on IL with facial fracture; placed on IL with sore lower back; placed on IL with lacerated finger,Jaylen Brown,Celtics
1627761,1610612749,2021-22,2022-02-17,2022-04-07,33,placed on IL with left thumb injury; placed on IL with surgery on right knee,DeAndre' Bembry,Bucks
1627761,1610612751,2021-22,2022-01-19,2022-01-21,2,placed on IL with back spasms,DeAndre' Bembry,Nets
1627763,1610612738,2022-23,2022-11-11,2023-05-29,28,placed on IL with right hamstring injury; placed on IL with illness; placed on IL with illness; placed on IL with sore right Achilles; placed on IL with sore right ankle; placed on IL with sore right Achilles; placed on IL with sore lower back; placed on IL with strained right forearm,Malcolm Brogdon,Celtics
1627763,1610612754,2021-22,2021-10-28,2022-03-15,73,placed on IL with sore/strained left hamstring; placed on IL with illness; placed on IL with sore right Achilles; placed on IL with NBA health and safety protocols; placed on IL with sore right Achilles; placed on IL with sore right Achilles; placed on IL with concussion,Malcolm Brogdon,Pacers
1627777,1610612755,2021-22,2021-12-15,2022-04-16,17,placed on IL with NBA health and safety protocols; placed on IL with left knee injury,Georges Niang,76ers
1627777,1610612755,2022-23,2022-12-05,2022-12-11,6,placed on IL with right foot injury,Georges Niang,76ers
1627780,1610612744,2021-22,2021-11-21,2022-06-02,52,placed on IL with hernia; placed on IL with tightness in lower back; placed on IL with sore left knee; placed on IL with fractured left elbow,Gary Payton II,Warriors
1627780,1610612744,2022-23,2023-04-20,2023-04-23,3,placed on IL with illness,Gary Payton II,Warriors
1627780,1610612757,2022-23,2022-10-13,2023-01-22,90,placed on IL with surgery to repair core muscle injury; placed on IL with surgery to repair core muscle injury; placed on IL with left calf injury,Gary Payton II,Blazers
1627783,1610612761,2021-22,2021-10-19,2021-12-28,31,placed on IL recovering from surgery on left shoulder; placed on IL with left shoulder injury; placed on IL with NBA health and safety protocols,Pascal Siakam,Raptors
1627788,1610612755,2021-22,2021-12-15,2022-02-06,13,placed on IL with illness; placed on IL with sore left knee,Furkan Korkmaz,76ers
1627788,1610612755,2022-23,2022-11-19,2022-11-22,3,placed on IL with left knee injury,Furkan Korkmaz,76ers
1627789,1610612737,2021-22,2021-12-22,2022-01-01,10,placed on IL with NBA health and safety protocols,Timothe Luwawu-Cabarrot,Hawks
1627814,1610612744,2021-22,2021-10-30,2022-01-02,18,placed on IL with right shoulder injury; placed on IL with sore left hip; placed on IL with NBA health and safety protocols,Damion Lee,Warriors
1627822,1610612743,2021-22,2022-01-07,2022-01-09,2,placed on IL with NBA health and safety protocols,Petr Cornelie,Nuggets
1627823,1610612738,2021-22,2021-12-17,2021-12-25,8,placed on IL with NBA health and safety protocols,Juancho Hernangomez / Juan Hernangomez,Celtics
1627826,1610612746,2021-22,2021-12-30,2022-02-06,15,placed on IL with NBA health and safety protocols; placed on IL with right calf injury,Ivica Zubac,Clippers
1627826,1610612746,2022-23,2022-12-15,2023-03-05,14,placed on IL with bruised left knee / discomfort in left knee; placed on IL with strained right calf; placed on IL with strained right calf,Ivica Zubac,Clippers
1627827,1610612742,2021-22,2021-12-25,2021-12-26,1,placed on IL with illness,Dorian Finney-Smith,Mavericks
1627832,1610612761,2021-22,2021-11-13,2022-04-15,45,placed on IL with left groin injury; placed on IL with NBA health and safety protocols; placed on IL with sore right knee; placed on IL with left groin injury; placed on IL with bruised right knee; placed on IL with sore right knee; placed on IL with sore right knee; placed on IL with right knee injury; placed on IL with sore right knee,Fred VanVleet,Raptors
1627832,1610612761,2022-23,2022-10-31,2023-04-12,18,placed on IL with stiffness in lower back; placed on IL with illness; placed on IL with illness; placed on IL with lower back injury; placed on IL with left thumb injury,Fred VanVleet,Raptors
1627846,1610612756,2021-22,2021-12-10,2022-02-10,62,placed on IL with right knee injury,Abdel Nader,Suns
1627853,1610612752,2022-23,2022-11-30,2022-12-16,16,placed on IL with sprained left ankle,Ryan Arcidiacono,Knicks
1627853,1610612757,2022-23,2023-02-25,2023-03-12,15,placed on IL with sore lower back,Ryan Arcidiacono,Blazers
1627863,1610612745,2021-22,2021-10-27,2021-12-18,24,placed on IL with sprained right foot; placed on IL with sprained left ankle,Danuel House Jr.,Rockets
1627863,1610612752,2021-22,2021-12-28,2022-01-02,5,placed on IL with finger injury,Danuel House Jr.,Knicks
1627863,1610612755,2022-23,2022-11-07,2023-04-30,13,placed on IL with illness; placed on IL with left foot injury; placed on IL with illness,Danuel House Jr.,76ers
1627863,1610612762,2021-22,2022-01-30,2022-03-31,24,placed on IL with NBA health and safety protocols; placed on IL with left knee injury,Danuel House Jr.,Jazz
1627879,1610612751,2021-22,2021-10-27,2022-01-25,55,placed on IL with illness; placed on IL with sore left wrist; placed on IL with left hamstring injury,Nicolas Claxton / Nic Claxton,Nets
1627879,1610612751,2022-23,2022-12-09,2023-03-10,7,placed on IL with right hamstring injury; placed on IL with hamstring injury; placed on IL with various injuries,Nicolas Claxton / Nic Claxton,Nets
1627884,1610612741,2021-22,2021-12-09,2022-02-12,37,placed on IL with NBA health and safety protocols; placed on IL with strained left hamstring; placed on IL with fractured finger,Derrick Jones Jr.,Bulls
1627884,1610612741,2022-23,2022-12-21,2023-02-23,21,placed on IL with sprained left ankle; placed on IL with strained left adductor,Derrick Jones Jr.,Bulls
1627936,1610612741,2021-22,2021-11-22,2022-04-16,93,placed on IL with left wrist injury; placed on IL with strained right hamstring; placed on IL with sprained left foot; placed on IL with fractured right wrist; placed on IL with bruised lower back,Alex Caruso,Bulls
1627936,1610612741,2022-23,2022-12-11,2023-04-07,16,placed on IL with bruised lower back; placed on IL with sprained right foot; placed on IL with sore left foot; placed on IL with sore left foot; placed on IL with illness; placed on IL with sprained left foot; placed on IL with sore left foot,Alex Caruso,Bulls
1628035,1610612741,2021-22,2021-12-26,2022-01-02,7,placed on IL with NBA health and safety protocols,Alfonzo McKinnie,Bulls
1628365,1610612753,2021-22,2021-10-19,2022-03-26,138,placed on IL with recovering from surgery on left knee to repair torn ACL; placed on IL with left knee injury; placed on IL with left knee injury; placed on IL with left knee injury,Markelle Fultz,Magic
1628365,1610612753,2022-23,2022-10-19,2023-04-07,43,placed on IL with fractured left big toe; placed on IL with sore left knee,Markelle Fultz,Magic
1628366,1610612741,2021-22,2021-12-26,2022-01-02,7,placed on IL with NBA health and safety protocols,Lonzo Ball,Bulls
1628367,1610612758,2021-22,2022-03-28,2022-03-30,2,placed on IL with illness,Josh Jackson,Kings
1628367,1610612765,2021-22,2021-12-26,2022-02-12,20,placed on IL with NBA health and safety protocols; placed on IL with back injury,Josh Jackson,Pistons
1628368,1610612758,2021-22,2021-12-16,2022-02-08,27,placed on IL with NBA health and safety protocols; placed on IL with left ankle injury,De'Aaron Fox,Kings
1628368,1610612758,2022-23,2022-11-01,2023-04-08,14,placed on IL with right knee injury; placed on IL with illness; placed on IL with sore left wrist; placed on IL with left hamstring injury; placed on IL with right hamstring injury; placed on IL with sore left ankle,De'Aaron Fox,Kings
1628369,1610612738,2021-22,2021-12-27,2022-04-09,12,placed on IL with NBA health and safety protocols; placed on IL with right patella tendinopathy; placed on IL with right patella tendinopathy,Jayson Tatum,Celtics
1628369,1610612738,2022-23,2023-02-14,2023-04-06,4,placed on IL with illness; placed on IL with bruised left knee; placed on IL with bruised left hip; placed on IL with bruised left hip,Jayson Tatum,Celtics
1628370,1610612747,2021-22,2021-12-14,2021-12-25,11,placed on IL with NBA health and safety protocols,Malik Monk,Lakers
1628370,1610612758,2022-23,2023-01-07,2023-02-23,12,placed on IL with left calf injury; placed on IL with sprained right ankle,Malik Monk,Kings
1628371,1610612753,2021-22,2021-10-19,2023-01-23,461,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Jonathan Isaac,Magic
1628371,1610612753,2022-23,2023-03-03,2023-03-03,0,placed on IL with torn left adductor (out for season),Jonathan Isaac,Magic
1628372,1610612757,2021-22,2021-12-17,2022-02-21,17,placed on IL with right knee injury; placed on IL with NBA health and safety protocols; placed on IL with strained right elbow,Dennis Smith Jr.,Blazers
1628372,1610612766,2022-23,2022-11-14,2023-01-02,49,placed on IL with sprained left ankle,Dennis Smith Jr.,Hornets
1628373,1610612742,2021-22,2021-11-22,2022-04-25,32,placed on IL with strained right calf; placed on IL with illness; placed on IL with illness; placed on IL with illness; placed on IL with illness,Frank Ntilikina,Mavericks
1628373,1610612742,2022-23,2022-10-19,2023-04-02,23,placed on IL with ankle injury; placed on IL with knee injury,Frank Ntilikina,Mavericks
1628374,1610612739,2021-22,2021-11-03,2022-03-14,52,placed on IL with NBA health and safety protocols; placed on IL with sprained right ankle; placed on IL with sore right ankle,Lauri Markkanen,Cavaliers
1628374,1610612762,2022-23,2022-12-07,2023-04-02,30,placed on IL with illness; placed on IL with bruised left hip; placed on IL with sore right knee; placed on IL with sore lower back; placed on IL with sore back; placed on IL with left hand injury; placed on IL with left hand injury,Lauri Markkanen,Jazz
1628378,1610612739,2022-23,2022-11-04,2023-04-15,25,placed on IL with sprained left ankle; placed on IL; placed on IL with strained left groin; placed on IL with left groin injury; placed on IL with left groin injury; placed on IL with finger injury; placed on IL with left finger injury,Donovan Mitchell,Cavaliers
1628378,1610612762,2021-22,2021-12-26,2022-04-16,30,placed on IL with strained lower back; placed on IL with strained lower back; placed on IL with concussion; placed on IL with right calf injury; placed on IL with illness,Donovan Mitchell,Jazz
1628379,1610612746,2021-22,2021-12-22,2022-04-08,24,placed on IL with right hip injury; placed on IL with NBA health and safety protocols; placed on IL with sore left ankle; placed on IL with right hamstring injury,Luke Kennard,Clippers
1628379,1610612746,2022-23,2022-11-06,2023-01-26,19,placed on IL with chest injury; placed on IL with right calf injury,Luke Kennard,Clippers
1628379,1610612763,2022-23,2023-02-22,2023-02-25,3,placed on IL with illness,Luke Kennard,Grizzlies
1628380,1610612759,2021-22,2021-10-19,2022-02-13,109,placed on IL with left ankle injury; placed on IL with left ankle injury,Zach Collins,Spurs
1628380,1610612759,2022-23,2023-03-15,2023-03-16,1,placed on IL with left ankle injury,Zach Collins,Spurs
1628384,1610612761,2021-22,2021-11-18,2022-04-10,72,placed on IL with left hip pointer; placed on IL with NBA health and safety protocols; placed on IL with fractured right finger; placed on IL with bruised right quadriceps,Ogugua Anunoby / O.G. Anunoby,Raptors
1628384,1610612761,2022-23,2022-12-14,2023-04-12,36,placed on IL with sore left hip; placed on IL with sore right ankle; placed on IL with sprained left wrist; placed on IL with sore right ankle,Ogugua Anunoby / O.G. Anunoby,Raptors
1628386,1610612739,2021-22,2021-11-17,2022-01-26,18,placed on IL with illness; placed on IL with NBA health and safety protocols; placed on IL with illness,Jarrett Allen,Cavaliers
1628386,1610612739,2022-23,2022-11-13,2023-04-09,29,placed on IL with sore left ankle; placed on IL with bruised lower back; placed on IL with right eye injury; placed on IL with strained right groin; placed on IL with strained right groin,Jarrett Allen,Cavaliers
1628389,1610612748,2021-22,2021-10-30,2022-04-16,59,placed on IL with bruised left knee; placed on IL with bruised left knee; placed on IL with surgery on right thumb to repair torn ligament; placed on IL with NBA health and safety protocols,Edrice Adebayo / Bam Adebayo,Heat
1628389,1610612748,2022-23,2022-12-26,2023-04-09,7,placed on IL with illness; placed on IL with bruised right hip; placed on IL with strained left quadriceps,Edrice Adebayo / Bam Adebayo,Heat
1628391,1610612745,2021-22,2021-11-29,2022-01-02,10,placed on IL with NBA health and safety protocols; placed on IL with NBA health and safety protocols,D.J. Augustine,Rockets
1628391,1610612761,2021-22,2021-12-31,2022-03-06,6,placed on IL with NBA health and safety protocols; placed on IL with sore left knee,D.J. Wilson,Raptors
1628392,1610612746,2021-22,2021-12-22,2022-01-15,24,placed on IL with sprained left ankle,Isaiah Hartenstein,Clippers
1628396,1610612741,2021-22,2021-12-26,2022-01-06,11,placed on IL with NBA health and safety protocols,Tony Bradley,Bulls
1628398,1610612764,2021-22,2021-12-11,2022-01-22,5,placed on IL with NBA health and safety protocols; placed on IL with neck spasms,Kyle Kuzma,Wizards
1628398,1610612764,2022-23,2022-11-27,2023-03-16,14,placed on IL with sore lower back; placed on IL with sprained left ankle; placed on IL with knee injury; placed on IL with sore right knee,Kyle Kuzma,Wizards
1628400,1610612749,2021-22,2021-10-18,2022-01-05,45,placed on IL with strained left calf; placed on IL; placed on IL with right calf injury; placed on IL with NBA health and safety protocols,Semi Ojeleye,Bucks
1628401,1610612759,2021-22,2022-01-06,2022-01-15,9,placed on IL with NBA health and safety protocols,Derrick White,Spurs
1628402,1610612765,2021-22,2022-01-06,2022-03-24,40,placed on IL with NBA health and safety protocols; placed on IL with back spasms,Frank Jackson,Pistons
1628404,1610612740,2021-22,2021-12-03,2022-02-06,17,placed on IL with sore left knee; placed on IL with sprained left ankle; placed on IL with sprained left ankle; placed on IL with bruised left knee,Josh Hart,Pelicans
1628404,1610612757,2022-23,2022-11-30,2022-12-04,4,placed on IL with sprained left ankle,Josh Hart,Blazers
1628410,1610612751,2022-23,2022-12-04,2023-03-29,6,placed on IL with glute injury; placed on IL with bruised right hip,Edmond Sumner,Nets
1628415,1610612763,2021-22,2021-10-19,2022-04-15,114,placed on IL with fractured left hand; placed on IL with left hand injury; placed on IL with sore right hamstring; placed on IL with NBA health and safety protocols; placed on IL with NBA health and safety protocols; placed on IL with sprained left ankle; placed on IL with left ankle injury; placed on IL with right hip injury; placed on IL with right hip injury,Dillon Brooks,Grizzlies
1628415,1610612763,2022-23,2022-10-19,2023-04-16,15,placed on IL with left thigh injury; placed on IL with sore right ankle; placed on IL with right hip injury; placed on IL with groin injury,Dillon Brooks,Grizzlies
1628418,1610612764,2021-22,2021-10-19,2022-02-04,87,placed on IL with recovering from surgery on left knee to repair torn ACL; placed on IL with sprained right ankle,Thomas Bryant,Wizards
1628419,1610612737,2021-22,2022-01-05,2022-01-08,3,placed on IL with NBA health and safety protocols,Cameron Oliver,Hawks
1628420,1610612743,2021-22,2021-12-31,2022-04-15,16,placed on IL with NBA health and safety protocols; placed on IL with concussion; placed on IL with sore left elbow,Monte Morris,Nuggets
1628420,1610612764,2022-23,2022-11-20,2023-03-28,27,placed on IL with sore right ankle; placed on IL with left groin injury; placed on IL with right hamstring and rib injuries; placed on IL with back injury; placed on IL with sore lower back; placed on IL with left groin injury,Monte Morris,Wizards
1628422,1610612752,2021-22,2022-01-08,2022-01-10,2,placed on IL,Damyean Dotson,Knicks
1628425,1610612742,2021-22,2021-10-28,2022-04-04,47,placed on IL with sprained left ankle; placed on IL with sore left foot; placed on IL with sore left foot; placed on IL with NBA health and safety protocols,Sterling Brown,Mavericks
1628427,1610612743,2021-22,2021-10-22,2022-04-10,122,placed on IL with strained left hip; placed on IL with fractured right foot,Vlatko Cancar,Nuggets
1628427,1610612743,2022-23,2023-01-15,2023-03-10,9,placed on IL with right leg injury; placed on IL with sprained right wrist,Vlatko Cancar,Nuggets
1628436,1610612738,2022-23,2023-02-06,2023-02-08,2,placed on IL with sprained left ankle,Luke Kornet,Celtics
1628449,1610612761,2021-22,2021-11-15,2021-11-18,3,placed on IL with sore lower back,Chris Boucher,Raptors
1628449,1610612761,2022-23,2022-10-19,2022-10-24,5,placed on IL with left hamstring injury,Chris Boucher,Raptors
1628464,1610612754,2022-23,2022-10-19,2023-02-22,113,placed on IL with surgery on right knee; placed on IL with sprained right thumb,Daniel Theis,Pacers
1628467,1610612742,2021-22,2021-11-02,2022-04-13,42,placed on IL with strained left oblique muscle; placed on IL with NBA health and safety protocols; placed on IL with sore right ankle; placed on IL with sore right ankle,Maximilian Kleber / Maxi Kleber,Mavericks
1628467,1610612742,2022-23,2022-11-16,2023-03-10,90,placed on IL with bruised lower back; placed on IL with right hamstring injury; placed on IL with right hamstring injury; placed on IL with right hamstring injury,Maximilian Kleber / Maxi Kleber,Mavericks
